#Type_1                     Type_2                       Section             x    y 
galaxy_position_fourier     galaxy_position_fourier      galaxy_cl           ell  bin_{0}_{1}
galaxy_galcl_emode_fourier  galaxy_galcl_emode_fourier   galcl_cl            ell  bin_{0}_{1}
galaxy_position_fourier     galaxy_galcl_emode_fourier   galaxy_galcl_cl     ell  bin_{0}_{1}
galaxy_galcl_emode_fourier  galaxy_position_fourier      galaxy_galcl_cl     ell  bin_{1}_{0}
galaxy_galcl_emode_fourier  cmb_galcl_emode_fourier      galcl_cmbkappa_cl   ell  bin_{0}_{1}
cmb_galcl_emode_fourier     galaxy_galcl_emode_fourier   galcl_cmbkappa_cl   ell  bin_{1}_{0}
galaxy_position_fourier     cmb_galcl_emode_fourier      galaxy_cmbkappa_cl  ell  bin_{0}_{1}
cmb_galcl_emode_fourier     galaxy_position_fourier      galaxy_cmbkappa_cl  ell  bin_{1}_{0}
galaxy_galcl_plus_real      galaxy_galcl_plus_real       galcl_xi            theta xiplus_{0}_{1}
galaxy_galcl_minus_real     galaxy_galcl_minus_real      galcl_xi            theta ximinus_{0}_{1}
galaxy_position_real        galaxy_position_real         galaxy_xi           theta bin_{0}_{1}
galaxy_position_real	    galaxy_galcl_plus_real	 galaxy_galcl_xi     theta bin_{0}_{1}
galaxy_galcl_plus_real	    galaxy_position_real	 galaxy_galcl_xi     theta bin_{1}_{0}
